baseline,condition,n,mean_forgetting_reduction,relative_reduction,paired_t,p_value,cohen_dz,holm_p_value
random,none,20,-0.8016574651002883,-4.157593553680403,-111.82453807607509,2.9980560031440534e-28,-25.004726869061745,3.2978616034584585e-27
random,stratified_random,20,0.02513812482357025,0.13037252226549673,2.447818160395615,0.024259359468421796,0.5473487803203078,0.09703743787368718
random,doubt,20,0.09033148288726807,0.4684813742731307,8.001706622609555,1.6706530913439274e-07,1.7892359944165221,1.336522473075142e-06
random,curiosity,20,0.07458563148975372,0.38681950106981006,6.761128133412635,1.8528238632440255e-06,1.511834211089692,1.2969767042708178e-05
random,egogate,20,0.07596684098243714,0.39398279453748125,6.643555497978683,2.352559141920987e-06,1.4855441705772803,1.4115354851525923e-05
random,embedding_kcenter,20,0.03922652304172516,0.20343843403387982,3.0965218797012506,0.0059409950799836735,0.6924033416827421,0.029704975399918367
random,egogate_diverse,20,0.06215469241142273,0.32234958164880495,8.411426230526082,7.894733990956591e-08,1.8808520839181133,7.105260591860931e-07
random,full,20,0.13342540264129638,0.6919770825676386,15.416040039142409,3.398299171816868e-12,3.4471313471380944,3.398299171816868e-11
egogate,doubt,20,0.014364641904830933,0.1229314598069726,2.1140084621167294,0.047963299569352046,0.47270666263027966,0.14388989870805613
egogate,curiosity,20,-0.0013812094926834106,-0.011820280683621965,-0.2158495983345022,0.8314053297008582,-0.048265437479197225,0.8314053297008582
egogate,egogate_diverse,20,-0.013812148571014404,-0.11820326591883638,-1.2697851328474024,0.2194933210421863,-0.28393258738653926,0.4389866420843726
